,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U
J62_J63,79,14,1,99,712,845,93,137,132,112,117,386,329,218,137,467,254,362,960,551,273,376,97,940,54,862,1585,446,2334,1603,403,45,47,484,75,1474,504,455,1442,6857,3055,405,321,756,1254,397,178,436,209,1347,1133,669,977,1384,0,0
K64,700,23,27,184,2214,1812,479,380,269,432,737,409,818,783,814,1668,387,614,2140,686,397,869,431,1346,167,620,6516,1768,10824,7677,1788,290,230,1134,88,2900,192,331,776,1164,11529,4752,1170,10427,1384,490,146,720,403,2426,4604,587,1947,2154,0,0
K65,228,29,19,14,171,141,45,37,17,37,34,31,84,73,47,163,30,70,165,50,70,83,50,54,21,116,799,138,508,338,546,73,28,195,9,233,8,16,40,71,294,1560,54,176,168,83,14,16,32,424,29,21,229,176,0,0
K66,137,18,10,8,795,877,78,146,51,57,95,244,202,323,112,355,93,210,839,52,89,380,42,160,3,144,257,243,3809,700,182,567,241,344,9,317,144,162,181,251,9617,6921,1232,239,280,17,14,2182,45,1473,388,51,326,554,0,0
L68,84,5,9,89,1345,1930,299,235,395,44,369,205,757,583,265,1645,358,500,1382,384,243,944,391,987,71,323,3031,1672,6204,14015,1870,212,120,1782,165,7842,293,392,1184,1410,2492,1409,1459,3038,1753,561,188,207,592,2361,1854,1236,2775,3491,0,0
M69_M70,579,46,8,175,1473,1508,200,271,332,483,166,506,635,642,575,1585,468,740,2260,2403,1051,384,507,829,122,3017,5663,902,5645,3090,671,67,82,1385,68,1946,462,672,686,2692,2259,114,1380,2365,6452,2734,720,754,1507,5251,3781,2542,5177,4221,0,0
M71,33,0,3,104,739,700,97,121,153,228,102,670,285,273,159,687,388,357,1296,2170,765,206,208,272,18,429,2465,332,2617,1005,257,29,23,485,33,659,213,358,246,1559,18,3,672,1065,3266,1396,595,512,634,2863,382,681,2457,1021,0,0
M72,25,0,0,29,157,74,9,10,2,31,21,381,40,35,8,64,153,40,261,834,269,25,14,16,0,37,58,15,240,23,5,1,0,8,1,28,12,26,17,47,39,14,5,72,79,75,367,124,27,134,6,8,66,17,0,0
M73,50,0,0,19,2482,747,42,248,98,103,143,346,184,160,36,285,76,201,330,245,291,332,44,123,4,116,472,869,3390,1571,88,21,53,183,11,474,147,369,878,165,732,94,92,147,296,48,20,270,119,841,78,80,181,549,0,0
M74_M75,165,1,0,49,393,431,59,86,120,150,58,157,164,157,104,412,140,204,653,767,299,153,130,180,16,332,1468,221,1566,694,170,21,21,328,22,448,160,221,183,1297,620,106,447,650,1978,857,259,246,462,1425,245,472,1491,875,0,0
N,150,14,1,420,2148,2032,263,354,386,530,240,416,1044,947,1166,2283,442,709,2153,560,1035,971,830,1305,626,3932,10180,1267,6718,5093,1834,893,2116,2310,104,3948,443,1421,1170,2717,1199,137,715,2490,2566,943,326,605,1332,7642,3105,1623,4588,4997,0,0
O84,2,0,0,5,220,49,4,17,11,148,9,47,43,62,48,47,16,34,36,14,126,23,18,48,8,42,102,99,706,462,34,11,15,44,10,71,25,19,42,230,75,14,15,141,198,118,5,10,201,121,269,146,185,229,0,0
P85,0,18,0,11,81,48,9,15,16,8,11,76,48,56,22,85,91,39,166,73,37,43,33,72,9,170,162,80,271,180,49,9,50,296,3,87,15,16,56,254,45,12,17,22,193,53,30,13,28,380,1058,313,652,598,0,0
Q,5,3,0,7,50,31,9,4,5,15,8,36,16,15,22,40,27,15,58,71,43,343,16,36,10,70,180,15,86,58,18,9,12,38,2,59,11,7,37,53,26,5,12,35,28,13,30,14,145,119,1163,355,17772,140,0,0
R_S,310,2,4,56,1318,725,66,83,99,317,47,147,348,238,179,397,121,282,270,67,229,273,167,1011,65,191,2597,327,1067,1601,190,38,67,245,16,559,230,840,907,434,95,14,103,383,519,159,107,28,333,1200,745,138,1815,13132,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
