""	"SYM"	"MKCapRate"	"acumul"	"ClaseMKCaProxy"
"1072"	"EXIT"	0	1	"BC"
"1073"	"EZC"	0	1	"BC"
"1074"	"F16"	0	1	"BC"
"1075"	"FAIR"	0	1	"BC"
"1076"	"FAME"	0	1	"BC"
"1077"	"FAZZ"	0	1	"BC"
"1078"	"FC"	0	1	"BC"
"1079"	"FC2"	0	1	"BC"
"1080"	"FCS"	0	1	"BC"
"1081"	"FFC"	0	1	"BC"
"1082"	"FGZ"	0	1	"BC"
"1083"	"FIBRE"	0	1	"BC"
"1084"	"FIND"	0	1	"BC"
"1085"	"FIRST"	0	1	"BC"
"1086"	"FIST"	0	1	"BC"
"1087"	"FLEX"	0	1	"BC"
"1088"	"FLIK"	0	1	"BC"
"1089"	"FLLW"	0	1	"BC"
"1090"	"FLVR"	0	1	"BC"
"1091"	"FLX"	0	1	"BC"
"1092"	"FLY"	0	1	"BC"
"1093"	"FNL"	0	1	"BC"
"1094"	"FNX"	0	1	"BC"
"1095"	"FONZ"	0	1	"BC"
"1096"	"FPC"	0	1	"BC"
"1097"	"FRAC"	0	1	"BC"
"1098"	"FRAZ"	0	1	"BC"
"1099"	"FRC"	0	1	"BC"
"1100"	"FRE"	0	1	"BC"
"1101"	"FRK"	0	1	"BC"
"1102"	"FRN"	0	1	"BC"
"1103"	"FRWC"	0	1	"BC"
"1104"	"FST"	0	1	"BC"
"1105"	"FT"	0	1	"BC"
"1106"	"FTP"	0	1	"BC"
"1107"	"FUCK"	0	1	"BC"
"1108"	"FUNC"	0	1	"BC"
"1109"	"FUTC"	0	1	"BC"
"1110"	"FUZZ"	0	1	"BC"
"1111"	"FX"	0	1	"BC"
"1112"	"GAIA"	0	1	"BC"
"1113"	"GAKH"	0	1	"BC"
"1114"	"GBRC"	0	1	"BC"
"1115"	"GBT"	0	1	"BC"
"1116"	"GCC*"	0	1	"BC"
"1117"	"GCN"	0	1	"BC"
"1118"	"GEMZ"	0	1	"BC"
"1119"	"GEN"	0	1	"BC"
"1120"	"GGS"	0	1	"BC"
"1121"	"GHC"	0	1	"BC"
"1122"	"GHOUL"	0	1	"BC"
"1123"	"GIFT"	0	1	"BC"
"1124"	"GIG"	0	1	"BC"
"1125"	"GIM"	0	1	"BC"
"1126"	"GIVE"	0	1	"BC"
"1127"	"GIZ"	0	1	"BC"
"1128"	"GLC"	0	1	"BC"
"1129"	"GLOBE"	0	1	"BC"
"1130"	"GLT"	0	1	"BC"
"1131"	"GLX"	0	1	"BC"
"1132"	"GLYPH"	0	1	"BC"
"1133"	"GMC"	0	1	"BC"
"1134"	"GML"	0	1	"BC"
"1135"	"GMX"	0	1	"BC"
"1136"	"GNJ"	0	1	"BC"
"1137"	"GOAT"	0	1	"BC"
"1138"	"GOOD"	0	1	"BC"
"1139"	"GOON"	0	1	"BC"
"1140"	"GOT"	0	1	"BC"
"1141"	"GOTX"	0	1	"BC"
"1142"	"GP"	0	1	"BC"
"1143"	"GPU"	0	1	"BC"
"1144"	"GRAV"	0	1	"BC"
"1145"	"GRE"	0	1	"BC"
"1146"	"GREXIT"	0	1	"BC"
"1147"	"GRID"	0	1	"BC"
"1148"	"GRM"	0	1	"BC"
"1149"	"GROW"	0	1	"BC"
"1150"	"GSM"	0	1	"BC"
"1151"	"GSX"	0	1	"BC"
"1152"	"GSY"	0	1	"BC"
"1153"	"GUE"	0	1	"BC"
"1154"	"GUNS"	0	1	"BC"
"1155"	"GXC"	0	1	"BC"
"1156"	"GXC*"	0	1	"BC"
"1157"	"H2O"	0	1	"BC"
"1158"	"HAC"	0	1	"BC"
"1159"	"HALLO"	0	1	"BC"
"1160"	"HAMS"	0	1	"BC"
"1161"	"HAZE"	0	1	"BC"
"1162"	"HDG"	0	1	"BC"
"1163"	"HEAT"	0	1	"BC"
"1164"	"HEX"	0	1	"BC"
"1165"	"HILL"	0	1	"BC"
"1166"	"HIRE"	0	1	"BC"
"1167"	"HKG"	0	1	"BC"
"1168"	"HLC"	0	1	"BC"
"1169"	"HODL"	0	1	"BC"
"1170"	"HONEY"	0	1	"BC"
"1171"	"HRB"	0	1	"BC"
"1172"	"HSP"	0	1	"BC"
"1173"	"HUGE"	0	1	"BC"
"1174"	"HVC"	0	1	"BC"
"1175"	"HVCO"	0	1	"BC"
"1176"	"HYP"	0	1	"BC"
"1177"	"HYPER"	0	1	"BC"
"1178"	"HZ"	0	1	"BC"
"1179"	"HZT"	0	1	"BC"
"1180"	"I0C"	0	1	"BC"
"1181"	"ICASH"	0	1	"BC"
"1182"	"ICB"	0	1	"BC"
"1183"	"ICE"	0	1	"BC"
"1184"	"ICOB"	0	1	"BC"
"1185"	"IEC"	0	1	"BC"
"1186"	"IFC"	0	1	"BC"
"1187"	"IFT"	0	1	"BC"
"1188"	"ILC"	0	1	"BC"
"1189"	"ILT"	0	1	"BC"
"1190"	"IML"	0	1	"BC"
"1191"	"IMPCH"	0	1	"BC"
"1192"	"IMPS"	0	1	"BC"
"1193"	"IMS"	0	1	"BC"
"1194"	"IMX"	0	1	"BC"
"1195"	"IN"	0	1	"BC"
"1196"	"IND"	0	1	"BC"
"1197"	"INFX"	0	1	"BC"
"1198"	"INSANE"	0	1	"BC"
"1199"	"INSN"	0	1	"BC"
"1200"	"INV"	0	1	"BC"
"1201"	"IOU"	0	1	"BC"
"1202"	"IPC"	0	1	"BC"
"1203"	"ISL"	0	1	"BC"
"1204"	"ITZ"	0	1	"BC"
"1205"	"IVZ"	0	1	"BC"
"1206"	"IW"	0	1	"BC"
"1207"	"IWT"	0	1	"BC"
"1208"	"IXC"	0	1	"BC"
"1209"	"JANE"	0	1	"BC"
"1210"	"JBS"	0	1	"BC"
"1211"	"JET"	0	1	"BC"
"1212"	"JIO"	0	1	"BC"
"1213"	"JKC"	0	1	"BC"
"1214"	"JNS"	0	1	"BC"
"1215"	"JOBS"	0	1	"BC"
"1216"	"JUDGE"	0	1	"BC"
"1217"	"JWL"	0	1	"BC"
"1218"	"KAT"	0	1	"BC"
"1219"	"KAYI"	0	1	"BC"
"1220"	"KBC"	0	1	"BC"
"1221"	"KC"	0	1	"BC"
"1222"	"KEN"	0	1	"BC"
"1223"	"KLC"	0	1	"BC"
"1224"	"KOBO"	0	1	"BC"
"1225"	"KR"	0	1	"BC"
"1226"	"KRAK"	0	1	"BC"
"1227"	"KRC"	0	1	"BC"
"1228"	"KRONE"	0	1	"BC"
"1229"	"KSS"	0	1	"BC"
"1230"	"KTK"	0	1	"BC"
"1231"	"KURT"	0	1	"BC"
"1232"	"KUSH"	0	1	"BC"
"1233"	"LAB"	0	1	"BC"
"1234"	"LANA"	0	1	"BC"
"1235"	"LAT"	0	1	"BC"
"1236"	"LAZ"	0	1	"BC"
"1237"	"LC"	0	1	"BC"
"1238"	"LCASH"	0	1	"BC"
"1239"	"LDM"	0	1	"BC"
"1240"	"LEA"	0	1	"BC"
"1241"	"LEMON"	0	1	"BC"
"1242"	"LENIN"	0	1	"BC"
"1243"	"LFC"	0	1	"BC"
"1244"	"LGBTQ"	0	1	"BC"
"1245"	"LGD"	0	1	"BC"
"1246"	"LIMX"	0	1	"BC"
"1247"	"LIR"	0	1	"BC"
"1248"	"LIV"	0	1	"BC"
"1249"	"LK7"	0	1	"BC"
"1250"	"LKY"	0	1	"BC"
"1251"	"LNK"	0	1	"BC"
"1252"	"LOC"	0	1	"BC"
"1253"	"LOOK"	0	1	"BC"
"1254"	"LQD"	0	1	"BC"
"1255"	"LSD"	0	1	"BC"
"1256"	"LTBC"	0	1	"BC"
"1257"	"LTCD"	0	1	"BC"
"1258"	"LTCR"	0	1	"BC"
"1259"	"LTCX"	0	1	"BC"
"1260"	"LTE"	0	1	"BC"
"1261"	"LTG"	0	1	"BC"
"1262"	"LTH"	0	1	"BC"
"1263"	"LUCKY"	0	1	"BC"
"1264"	"LUX*"	0	1	"BC"
"1265"	"LVG"	0	1	"BC"
"1266"	"LXC"	0	1	"BC"
"1267"	"LYB"	0	1	"BC"
"1268"	"LYC"	0	1	"BC"
"1269"	"M1"	0	1	"BC"
"1270"	"MAD*"	0	1	"BC"
"1271"	"MAPC"	0	1	"BC"
"1272"	"MARV"	0	1	"BC"
"1273"	"MARX"	0	1	"BC"
"1274"	"MARYJ"	0	1	"BC"
"1275"	"MAT"	0	1	"BC"
"1276"	"MAT*"	0	1	"BC"
"1277"	"MAY"	0	1	"BC"
"1278"	"MBC"	0	1	"BC"
"1279"	"MBIT"	0	1	"BC"
"1280"	"MDC"	0	1	"BC"
"1281"	"MEDI"	0	1	"BC"
"1282"	"MEGA"	0	1	"BC"
"1283"	"MEOW"	0	1	"BC"
"1284"	"MET"	0	1	"BC"
"1285"	"METAL"	0	1	"BC"
"1286"	"MG"	0	1	"BC"
"1287"	"MGO"	0	1	"BC"
"1288"	"MHC"	0	1	"BC"
"1289"	"MI"	0	1	"BC"
"1290"	"MIC"	0	1	"BC"
"1291"	"MIL"	0	1	"BC"
"1292"	"MILO"	0	1	"BC"
"1293"	"MIN"	0	1	"BC"
"1294"	"MINE"	0	1	"BC"
"1295"	"MLITE"	0	1	"BC"
"1296"	"MLS"	0	1	"BC"
"1297"	"MM"	0	1	"BC"
"1298"	"MMC"	0	1	"BC"
"1299"	"MMNXT"	0	1	"BC"
"1300"	"MMXIV"	0	1	"BC"
"1301"	"MMXVI"	0	1	"BC"
"1302"	"MN"	0	1	"BC"
"1303"	"MND"	0	1	"BC"
"1304"	"MNE"	0	1	"BC"
"1305"	"MNM"	0	1	"BC"
"1306"	"MNY"	0	1	"BC"
"1307"	"MOAC"	0	1	"BC"
"1308"	"MOL"	0	1	"BC"
"1309"	"MONEY"	0	1	"BC"
"1310"	"MOON"	0	1	"BC"
"1311"	"MOOND"	0	1	"BC"
"1312"	"MOTO"	0	1	"BC"
