5.06 5.09 NA 5.37 4.79 4.87 5.13 5.07 5.1 4.96 5.02 5.21 NA 7.68 5.11 5.11 6 4.87 5.34 5.77 4.99 7.59 5.12 NA 5.37 9.08 7.64
4.77 4.8 NA 5.37 4.57 4.59 4.88 4.78 4.81 4.67 4.67 4.95 NA 7.47 4.84 4.83 6 4.7 5.34 5.74 4.71 7.26 4.85 NA 5.13 8.94 7.24
4.57 4.6 NA 5.37 4.48 4.38 4.74 4.57 4.61 4.46 4.45 4.73 NA 7.38 4.63 4.62 5.92 4.33 5.14 5.74 4.5 6.78 4.63 NA 4.97 8.91 6.6
4.64 4.66 NA 5.37 4.29 4.46 4.81 4.63 4.68 4.55 4.53 4.79 NA 7.21 4.7 4.76 5.87 4.11 4.88 5.56 4.58 6.26 4.7 NA 5.07 8.9 6.11
4.62 4.64 NA 5.37 4.21 4.48 4.79 4.6 4.66 4.53 4.55 4.76 NA 6.76 4.67 4.74 5.87 4.11 4.79 5.57 4.55 5.95 4.66 NA 5.05 7.1 5.43
4.43 4.46 NA 5.37 4.15 4.33 4.61 4.42 4.45 4.38 4.49 4.58 NA 6.5 4.46 4.55 5.87 3.97 4.53 5.55 4.36 5.73 4.45 NA 4.89 6.65 5.12
4.22 4.28 7.2 5.29 4.1 4.18 4.43 4.24 4.26 4.22 4.31 4.43 NA 6.33 4.27 4.38 5.85 3.62 4.62 5.54 4.19 5.66 4.27 NA 4.7 6.65 4.98
4.01 4.11 6.93 4.83 3.81 3.95 4.21 4.01 4.05 4.01 4.29 4.24 NA 6.34 4.06 4.16 5.67 3.55 4.77 5.51 3.97 5.66 4.04 NA 4.47 6.65 4.92
4.03 4.15 6.93 4.83 3.75 4 4.26 4.04 4.09 4.1 4.41 4.26 NA 6.41 4.09 4.18 5.67 3.55 4.99 5.4 4.01 5.52 4.08 NA 4.57 6.65 5.01
4.16 4.29 6.79 4.8 3.92 4.15 4.41 4.19 4.23 4.22 4.56 4.38 NA 6.33 4.22 4.31 5.65 3.55 4.99 5.25 4.23 5.41 4.18 NA 4.72 6.65 4.9
3.85 3.95 6.78 4.63 3.73 3.82 4.09 3.88 3.91 3.89 4.31 4.02 NA 5.97 3.89 4.04 5.63 3.55 4.95 5.14 3.91 5.12 3.91 NA 4.37 6.65 4.72
3.76 3.74 6.78 4.63 3.49 3.62 3.85 3.69 3.7 3.69 4.19 3.81 NA 6.33 3.69 3.82 5.5 2.85 4.89 5.11 3.72 5.03 3.77 NA 4.2 6.65 4.7
4.06 4.06 5.95 4.59 4.06 3.97 4.17 4.03 4.01 4.01 4.47 4.12 NA 6.86 4.01 4.13 5.38 2.85 4.78 4.95 4.04 5.37 4.1 NA 4.51 6.65 4.8
4.22 4.22 5.91 4.59 4.23 4.13 4.35 4.19 4.18 4.16 4.64 4.29 NA 7.11 4.17 4.29 5.04 3.17 4.8 4.78 4.18 5.61 4.26 NA 4.7 6.65 4.92
4.24 4.25 5.91 4.59 4.26 4.17 4.4 4.21 4.2 4.23 4.76 4.32 NA 7.06 4.19 4.31 5.04 3.22 4.96 4.73 4.21 5.93 4.29 NA 4.73 6.65 5.02
4.32 4.31 6.06 4.64 4.47 4.22 4.44 4.27 4.26 4.28 4.96 4.38 NA 7.08 4.25 4.38 4.82 3.2 4.98 4.68 4.27 6.36 4.36 NA 4.85 6.16 5.08
