"","clusters","symb_assets"
"591","10","SRE"
"592","1","SHW"
"593","9","SPG"
"594","9","SWKS"
"595","4","SLG"
"596","8","SNA"
"597","9","SO"
"598","4","LUV"
"599","3","SWK"
"600","9","SBUX"
"601","1","STT"
"602","3","SYK"
"603","9","STI"
"604","8","SIVB"
"605","6","SYMC"
"606","8","SYF"
"607","3","SNPS"
"608","9","SYY"
"609","8","TROW"
"610","4","TTWO"
"611","4","TPR"
"612","10","TGT"
"613","4","TEL"
"614","6","FTI"
"615","10","TFX"
"616","9","TXN"
"617","4","TXT"
"618","1","BK"
"619","10","CLX"
"620","1","COO"
"621","4","HSY"
"622","4","MOS"
"623","10","TRV"
"624","4","DIS"
"625","1","TMO"
"626","4","TIF"
"627","4","TJX"
"628","4","TMUS"
"629","1","TSCO"
"630","3","TDG"
"631","9","TRIP"
"632","1","TWTR"
"633","8","TSN"
"634","4","USB"
"635","4","UDR"
"636","3","ULTA"
"637","10","UNP"
"638","4","UAL"
"639","8","UNH"
"640","4","UPS"
"641","8","URI"
"642","8","UTX"
"643","6","UHS"
"644","9","UNM"
"645","3","VFC"
"646","8","VLO"
"647","1","VAR"
"648","1","VTR"
"649","8","VRSN"
"650","9","VRSK"
"651","9","VZ"
"652","1","VRTX"
"653","6","VIAB"
"654","10","V"
"655","4","VNO"
"656","6","WAB"
"657","1","WBA"
"658","3","WMT"
"659","4","WM"
"660","8","WAT"
"661","9","WEC"
"662","8","WCG"
"663","9","WFC"
"664","8","WELL"
"665","3","WDC"
"666","4","WU"
"667","6","WRK"
"668","3","WY"
"669","10","WHR"
"670","6","WMB"
"671","10","WLTW"
"672","8","WYNN"
"673","9","XEL"
"674","1","XRX"
"675","3","XLNX"
"676","4","XYL"
"677","8","YUM"
"678","9","ZION"
"679","1","ZTS"
