asset_unique,symb_assets,type_assets,F1,F2,F3,cluster
CenterPointEnerg_CNP,CNP,Stock,-0.638668794,-0.144801141,-1.05891218,3
CenturyLinkIn_CTL,CTL,Stock,-0.373877579,0.074996403,-0.543443362,3
Cerne_CERN,CERN,Stock,-0.534045538,-0.083241758,-0.088813707,1
CharlesSchwabCorporatio_SCHW,SCHW,Stock,-0.488699844,-0.207895793,0.057399808,1
CharterCommunication_CHTR,CHTR,Stock,-0.474945603,-0.258706652,-0.308665043,1
ChevronCorp_CVX,CVX,Stock,-0.542357664,-0.13224658,-0.774609076,3
ChipotleMexicanGril_CMG,CMG,Stock,-0.368051839,-0.082598906,-0.398035373,3
ChubbLimite_CB,CB,Stock,-0.649979208,-0.243526994,-0.246451224,1
Church&Dwigh_CHD,CHD,Stock,-0.595640466,-0.081182317,0.340523989,1
CimarexEnerg_XEC,XEC,Stock,-0.406825254,-0.349793725,-0.733516295,3
CincinnatiFinancia_CINF,CINF,Stock,-0.611724507,-0.162860563,0.159213477,1
CintasCorporatio_CTAS,CTAS,Stock,-0.538687886,-0.473874542,1.627658212,7
CiscoSystem_CSCO,CSCO,Stock,-0.516707754,-0.147462332,0.229835235,1
CitigroupInc_C,C,Stock,-0.504958271,-0.090362569,-0.319547143,1
CitrixSystem_CTXS,CTXS,Stock,-0.462983889,-0.110152909,1.024798701,7
Coca-ColaCompan_KO,KO,Stock,-0.660948159,0.143748524,0.104495065,1
CognizantTechnologySolution_CTSH,CTSH,Stock,-0.481919149,0.296316667,0.869158469,7
Colgate-Palmoliv_CL,CL,Stock,-0.605993744,-0.081769986,-0.063125764,1
