""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"1308"	"SHORTY"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D6"	"SRF"	"LowVol"	"D9"	2	3	2	2
"1309"	"SHREK"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D5"	"D10"	"ERP"	"LowVol"	"D7"	3	1	3	5
"1310"	"SIB"	"X11GOST"	"PoW"	"P99"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"ERP"	"LowVol"	"D10"	3	3	2	4
"1311"	"SIC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P99"	"BC"	"Average"	"Average"	"High"	"D5"	"D6"	"D10"	"ERP"	"LowVol"	"D4"	3	1	3	5
"1312"	"SIFT"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D5"	"D6"	"D8"	"ERP"	"HighVol"	"D6"	2	3	3	1
"1313"	"SIGT"	"SkunkHash v2 Raptor"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D8"	"ERP"	"LowVol"	"D6"	3	3	2	4
"1314"	"SILK"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D10"	2	3	2	2
"1315"	"SISA"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D9"	"D8"	"D8"	"SRF"	"Indexlike"	"D7"	2	3	3	1
"1316"	"SJCX"	"Counterparty"	"PoS"	"P70"	"BC"	"P90"	"BC"	"Average"	"Average"	"Average"	"D4"	"D5"	"D8"	"SRF"	"LowVol"	"D10"	3	1	3	5
"1317"	"SKB"	"SHA256"	"PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D6"	"SRF"	"LowVol"	"D10"	3	3	2	4
"1318"	"SKC"	"Skein"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D7"	"SRF"	"LowVol"	"D10"	2	3	3	1
"1319"	"SKIN"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"1320"	"SKR"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D9"	"D5"	"D6"	"ERP"	"Indexlike"	"D10"	3	3	1	20
"1321"	"SKULL"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D8"	"ERP"	"NegBeta"	"D5"	2	1	2	7
"1322"	"SKY"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	2	4
"1323"	"SLG"	"X13"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D6"	"D6"	"SRF"	"Indexlike"	"D10"	2	3	2	2
"1324"	"SLM"	"N/A"	"PoB"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"1325"	"SLR"	"Scrypt"	"PoW"	"P90"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D9"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"1326"	"SLS"	"Scrypt"	"PoW/PoS"	"P99"	"BC"	"P90"	"BC"	"Average"	"Average"	"Average"	"D7"	"D6"	"D5"	"SRF"	"Indexlike"	"D10"	2	3	2	2
"1327"	"SLT"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"Low"	"High"	"High"	"D4"	"D10"	"D10"	"SRF"	"HighVol"	"D4"	2	1	3	8
"1328"	"SMAC"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D5"	2	3	3	1
"1329"	"SMART"	"Keccak"	"PoW"	"P90"	"BC"	"P99"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"SRF"	"HighVol"	"D10"	3	3	3	3
"1330"	"SMART*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D9"	"SRF"	"LowVol"	"D4"	2	1	3	8
"1331"	"SMC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D5"	"D4"	"D9"	"SRF"	"LowVol"	"D5"	3	1	2	6
"1332"	"SMF"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D10"	"D7"	"SRF"	"NegBeta"	"D4"	2	1	2	7
"1333"	"SMLY"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Low"	"D8"	"D7"	"D4"	"ERP"	"Indexlike"	"D4"	2	3	3	1
"1334"	"SMSR"	"QuBit"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D4"	3	1	2	6
"1335"	"SNC"	"N/A"	"N/A"	"P99"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"SRF"	"Indexlike"	"D10"	3	3	2	4
"1336"	"SND"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"ERP"	"HighVol"	"D8"	3	1	2	6
"1337"	"SNGLS"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D5"	"SRF"	"HighVol"	"D10"	3	3	3	3
"1338"	"SNIP"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Average"	"High"	"High"	"D9"	"D9"	"D10"	"SRF"	"HighVol"	"D6"	2	1	3	8
"1339"	"SNM"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D5"	"SRF"	"HighVol"	"D10"	3	3	3	3
"1340"	"SNOV"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D6"	"SRF"	"HighVol"	"D9"	3	3	3	3
"1341"	"SNRG"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D4"	"D4"	"D9"	"SRF"	"NegBeta"	"D5"	3	1	3	5
"1342"	"SNT"	"N/A"	"N/A"	"P100"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D4"	"SRF"	"HighVol"	"D10"	2	3	3	1
"1343"	"SOAR"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"SRF"	"LowVol"	"D10"	3	3	2	4
"1344"	"SOCC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D9"	"D8"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"1345"	"SOIL"	"Dagger"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	3	3
"1346"	"SOJ"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D9"	"ERP"	"NegBeta"	"D6"	2	1	2	7
"1347"	"SOLE"	"X15"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	NA	2	3	2	2
"1348"	"SONG"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D4"	"ERP"	"NegBeta"	"D4"	2	3	2	2
"1349"	"SOON"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D7"	"ERP"	"HighVol"	"D10"	3	3	3	3
"1350"	"SOUL"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D7"	"D9"	"ERP"	"LowVol"	"D7"	2	1	2	7
"1351"	"SP"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D8"	"SRF"	"LowVol"	"D5"	3	1	2	6
"1352"	"SPA"	"Scrypt-n"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"1353"	"SPACE"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D9"	"ERP"	"LowVol"	"D5"	2	1	2	7
"1354"	"SPANK"	"N/A"	"N/A"	"P80"	"BC"	"P90"	"BC"	"Average"	"Average"	"High"	"D9"	"D5"	"D10"	"ERP"	"NegBeta"	"D9"	3	4	3	13
"1355"	"SPC"	"NIST5"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	3	3	1
"1356"	"SPEC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D6"	"D10"	"D7"	"SRF"	"LowVol"	"D4"	2	1	3	8
"1357"	"SPF"	"N/A"	"N/A"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"LowVol"	"D9"	3	3	2	4
"1358"	"SPHR"	"Scrypt"	"PoW/PoS"	"P99"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D9"	"D5"	"D4"	"ERP"	"Indexlike"	"D10"	3	3	3	3
"1359"	"SPKTR"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D8"	"ERP"	"LowVol"	"D4"	2	3	2	2
"1360"	"SPM"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D9"	"D10"	"D7"	"ERP"	"LowVol"	"D8"	2	3	2	2
"1361"	"SPORT"	"X11"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D9"	"D5"	"ERP"	"LowVol"	"D9"	2	3	2	2
"1362"	"SPOTS"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"1363"	"SPR"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D4"	"D4"	"D10"	"ERP"	"LowVol"	"D6"	3	2	3	11
"1364"	"SPRTS"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D8"	2	3	3	1
"1365"	"SPT"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D5"	"D10"	"ERP"	"HighVol"	"D4"	3	1	2	6
"1366"	"SPX"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D6"	"D6"	"SRF"	"LowVol"	"D8"	2	3	2	2
"1367"	"SQL"	"X11"	"PoS/PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Average"	"D4"	"D6"	"D8"	"ERP"	"LowVol"	"D4"	3	3	3	3
"1368"	"SRC"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"1369"	"SRN"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"LowVol"	"D9"	3	3	2	4
"1370"	"SSC"	"DPoS"	"DPoS"	"P99"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"1371"	"SSD"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D10"	2	3	3	1
"1372"	"SSTC"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D8"	"D5"	"D9"	"SRF"	"LowVol"	"D5"	3	1	3	5
"1373"	"SSV"	"X13"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	NA	2	3	3	1
"1374"	"STA"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D7"	"D10"	"D9"	"SRF"	"LowVol"	"D10"	2	1	3	8
"1375"	"STA*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D7"	"D10"	"SRF"	"LowVol"	"D5"	3	1	3	5
"1376"	"STALIN"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D9"	"D4"	"D9"	"SRF"	"NegBeta"	"D7"	3	1	2	6
"1377"	"STAR"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"High"	"Low"	"High"	"D9"	"D4"	"D10"	"SRF"	"Extreme"	"D9"	1	5	3	18
"1378"	"STAR*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D8"	"D4"	"D10"	"SRF"	"LowVol"	"D6"	3	1	2	6
"1379"	"START"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D9"	"ERP"	"LowVol"	"D7"	3	1	2	6
"1380"	"STAX"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D6"	"ERP"	"LowVol"	"D4"	2	3	2	2
"1381"	"STC"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D7"	"ERP"	"Indexlike"	"D10"	3	3	3	3
"1382"	"STCN"	"PoS"	"PoS"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	3	1
"1383"	"STEEM"	"N/A"	"PoW"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"ERP"	"HighVol"	"D10"	3	3	3	3
"1384"	"STEPS"	"N/A"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D4"	3	1	2	6
"1385"	"STHR"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D4"	"D7"	"D5"	"SRF"	"LowVol"	"D6"	2	3	2	2
"1386"	"STN"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"ERP"	"LowVol"	"D9"	3	3	2	4
"1387"	"STO"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D6"	"D9"	"SRF"	"LowVol"	"D10"	3	1	2	6
"1388"	"STORJ"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Low"	"D10"	"D4"	"D4"	"ERP"	"HighVol"	"D10"	3	3	3	3
"1389"	"STORM"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D6"	"ERP"	"HighVol"	"D9"	3	3	2	4
"1390"	"STP"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D10"	"ERP"	"HighVol"	"D5"	2	4	2	15
"1391"	"STR*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	NA	2	3	3	1
"1392"	"STRAT"	"X13"	"PoW/PoS"	"P100"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D4"	"SRF"	"HighVol"	"D10"	3	3	2	4
"1393"	"STS"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D9"	"SRF"	"LowVol"	"D5"	2	1	3	8
"1394"	"STU"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"1395"	"STV"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"SRF"	"NegBeta"	"D5"	3	1	2	6
"1396"	"STX"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	3	3
"1397"	"SUB"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"1398"	"SUB*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D7"	"D9"	"ERP"	"Indexlike"	"D6"	2	1	2	7
"1399"	"SUMO"	"CryptoNight"	"PoW"	"P90"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D6"	"ERP"	"Indexlike"	"D10"	3	3	3	3
"1400"	"SUP"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"1401"	"SUPER"	"X11"	"PoS"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"High"	"D4"	"D6"	"D10"	"ERP"	"HighVol"	"D4"	3	2	2	14
"1402"	"SUR"	"N/A"	"N/A"	"P90"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D7"	"D5"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"1403"	"SWARM"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"1404"	"SWEET"	"PoS"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D6"	"D10"	"ERP"	"HighVol"	"D5"	3	2	2	14
"1405"	"SWFTC"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D6"	"ERP"	"HighVol"	"D9"	3	3	3	3
"1406"	"SWIFT"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"Low"	"D7"	"D5"	"D4"	"SRF"	"Indexlike"	"D10"	3	3	2	4
"1407"	"SWING"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D9"	"D10"	"SRF"	"HighVol"	"D5"	2	1	2	7
"1408"	"SWT"	"N/A"	"N/A"	"P99"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"SRF"	"LowVol"	"D10"	3	3	1	20
"1409"	"SXC"	"Scrypt"	"PoW"	"P80"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D6"	"ERP"	"LowVol"	"D10"	3	3	2	4
"1410"	"SXDT"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"Average"	"High"	"Average"	"D8"	"D10"	"D7"	"ERP"	"LowVol"	"D8"	2	3	2	2
"1411"	"SXUT"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"Average"	"Average"	"Average"	"D9"	"D7"	"D8"	"SRF"	"HighVol"	"D9"	2	1	2	7
"1412"	"SYNC"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"High"	"D4"	"D9"	"D9"	"SRF"	"Indexlike"	"D10"	2	1	3	8
"1413"	"SYNX"	"X11"	"PoW/PoS"	"P99"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"SRF"	"Indexlike"	"D10"	3	3	3	3
"1414"	"SYS"	"SHA256"	"PoW"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D4"	"SRF"	"HighVol"	"D10"	3	3	2	4
"1415"	"TAAS"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D7"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	2	4
"1416"	"TAB"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D5"	"SRF"	"LowVol"	"D8"	2	3	3	1
"1417"	"TAG"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D6"	"D10"	"D6"	"ERP"	"Indexlike"	"D10"	2	3	3	1
"1418"	"TAJ"	"Blake2S"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D10"	"ERP"	"HighVol"	"D5"	2	1	2	7
"1419"	"TAK"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D8"	"D4"	"D10"	"ERP"	"NegBeta"	"D5"	3	1	2	6
"1420"	"TAM"	"Scrypt"	"PoW/PoS/PoC"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D7"	"ERP"	"LowVol"	"D10"	2	3	2	2
"1421"	"TAP"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"High"	"High"	"D10"	"D10"	"D10"	"SRF"	"LowVol"	"D7"	2	1	2	7
"1422"	"TBCX"	"SHA256D"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D8"	"D4"	"D10"	"SRF"	"LowVol"	"D6"	3	1	2	6
"1423"	"TBT"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D9"	"SRF"	"LowVol"	"D8"	3	1	2	6
"1424"	"TCOIN"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Low"	"D6"	"D7"	"D4"	"SRF"	"LowVol"	"D5"	2	3	3	1
"1425"	"TCR"	"Lyra2Z"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D6"	"SRF"	"LowVol"	"D8"	2	3	3	1
"1426"	"TCX"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D10"	"SRF"	"LowVol"	"D7"	3	1	1	21
"1427"	"TDFB"	"SHA256D"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"1428"	"TEAM"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"ERP"	"LowVol"	"D5"	3	1	3	5
"1429"	"TEC"	"Multiple"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D9"	"D7"	"SRF"	"LowVol"	"D7"	2	3	2	2
"1430"	"TECH"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"High"	"D4"	"D7"	"D9"	"SRF"	"HighVol"	"D4"	3	1	2	6
"1431"	"TEK"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D9"	"ERP"	"LowVol"	"D7"	2	1	2	7
"1432"	"TELL"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D7"	"D10"	"SRF"	"NegBeta"	"D6"	3	1	1	21
"1433"	"TER"	"Scrypt"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"SRF"	"LowVol"	"D10"	3	1	2	6
"1434"	"TES"	"Multiple"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D4"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"1435"	"TESLA"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D9"	"ERP"	"LowVol"	"D10"	3	1	2	6
"1436"	"TFL"	"N/A"	"N/A"	"P99"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D9"	"D5"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"1437"	"TGC"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D6"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"1438"	"TGT"	"N/A"	"N/A"	"P80"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D9"	"D6"	"D7"	"SRF"	"Indexlike"	"D8"	2	3	2	2
"1439"	"THC"	"Scrypt"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"1440"	"THNX"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"1441"	"THS"	"DPoS"	"DPoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D8"	"SRF"	"LowVol"	"D9"	3	3	2	4
"1442"	"TIA"	"Lyra2RE"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D6"	"ERP"	"LowVol"	"D7"	2	3	2	2
"1443"	"TIC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D7"	"D4"	"ERP"	"Indexlike"	"D4"	2	3	2	2
"1444"	"TIE"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D8"	"SRF"	"LowVol"	"D8"	3	3	3	3
