""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"59"	"AMIS"	"N/A"	"N/A"	"P70"	"BC"	"P100"	"AC"	"Average"	"High"	"High"	"D6"	"D10"	"D10"	"ERP"	"Extreme"	"D9"	1	5	2	17
"60"	"AMM"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"ERP"	"LowVol"	"D9"	3	3	1	20
"61"	"AMP"	"N/A"	"Pow/PoSC"	"P99"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"62"	"AMS"	"Quark"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D9"	"ERP"	"LowVol"	"D6"	3	1	2	6
"63"	"AMX"	"NeoScrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	3	1
"64"	"AMY"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D5"	"D7"	"ERP"	"Indexlike"	"D5"	3	3	3	3
"65"	"ANAL"	"SHA256"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D8"	"D6"	"ERP"	"LowVol"	"D8"	2	3	2	2
"66"	"ANC"	"N/A"	"PoW"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D9"	2	3	3	1
"67"	"AND"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	3	9
"68"	"ANGL"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"SRF"	"HighVol"	"D4"	3	4	3	13
"69"	"ANI"	"Quark"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D9"	"SRF"	"HighVol"	"D10"	2	1	3	8
"70"	"ANT"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Low"	"D9"	"D6"	"D4"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"71"	"ANTI"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D8"	"SRF"	"LowVol"	"D5"	3	1	3	5
"72"	"APC"	"N/A"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D8"	"SRF"	"LowVol"	"D10"	2	1	3	8
"73"	"APEX"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"74"	"APT"	"Scrypt-n"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"75"	"APX"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"76"	"AQUA"	"Argon2"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"77"	"ARB"	"N/A"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D10"	"SRF"	"HighVol"	"D5"	2	4	3	16
"78"	"ARC"	"X11"	"PoW"	"P70"	"BC"	"P90"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D5"	2	2	3	9
"79"	"ARC*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D5"	"D7"	"D9"	"SRF"	"HighVol"	"D7"	2	1	3	8
"80"	"ARCH"	"Scrypt"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"81"	"ARCO"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P90"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D6"	"SRF"	"LowVol"	"D4"	2	3	2	2
"82"	"ARDR"	"N/A"	"PoS"	"P99"	"BC"	"P99"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"ERP"	"HighVol"	"D10"	3	3	2	4
"83"	"ARENA"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D5"	"D4"	"D7"	"ERP"	"Indexlike"	"D4"	3	1	2	6
"84"	"ARG"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D10"	"D8"	"SRF"	"LowVol"	"D10"	2	3	2	2
"85"	"ARGUS"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D10"	"SRF"	"HighVol"	"D4"	2	1	3	8
"86"	"ARI"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D7"	"ERP"	"LowVol"	"D10"	3	3	2	4
"87"	"ARK"	"DPoS"	"DPoS"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Low"	"D10"	"D4"	"D4"	"ERP"	"HighVol"	"D10"	3	3	3	3
"88"	"ARM"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D8"	"D10"	"D9"	"SRF"	"LowVol"	"D6"	2	1	3	8
"89"	"ARN"	"N/A"	"N/A"	"P100"	"BC"	"P90"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D7"	"ERP"	"HighVol"	"D9"	2	3	3	1
"90"	"ARPA"	"SHA256D"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D6"	"D7"	"ERP"	"HighVol"	"D7"	2	3	2	2
"91"	"ART"	"N/A"	"N/A"	"P80"	"BC"	"P90"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"ERP"	"HighVol"	"D9"	3	3	2	4
"92"	"ARTE"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D8"	"ERP"	"LowVol"	"D8"	3	3	3	3
"93"	"ASAFE2"	"Quark"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D10"	"D8"	"ERP"	"LowVol"	"D8"	2	3	2	2
"94"	"ASN"	"QuBit"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D9"	"D9"	"ERP"	"HighVol"	"D4"	2	1	2	7
"95"	"AST"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"96"	"AST*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D7"	"ERP"	"HighVol"	"D8"	3	3	2	4
"97"	"ASTRO"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"Average"	"Average"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D8"	3	4	2	12
"98"	"ATB"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D9"	"ERP"	"LowVol"	"D9"	3	1	2	6
"99"	"ATCC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D7"	"ERP"	"LowVol"	"D5"	3	1	2	6
"100"	"ATL"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D5"	"D7"	"SRF"	"HighVol"	"D9"	3	3	2	4
"101"	"ATM*"	NA	NA	"P70"	"BC"	"P99"	"BC"	"Average"	"Average"	"Average"	"D6"	"D5"	"D9"	"SRF"	"LowVol"	"D6"	3	1	3	5
"102"	"ATOM"	"PoS"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"SRF"	"NegBeta"	"D5"	3	1	2	6
"103"	"ATS"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"SRF"	"HighVol"	"D9"	3	3	2	4
"104"	"ATT"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D7"	"D4"	"SRF"	"Indexlike"	"D4"	2	3	3	1
"105"	"ATX"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D7"	"D10"	"SRF"	"HighVol"	"D10"	3	4	3	13
