""	"SYM"	"rmedio"	"volatility"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"162"	"BITOK"	-0.00416955274178975	0.189102029973387	2	3	3	1
"163"	"BITS"	-0.0111094226586537	0.382268480111188	3	1	2	6
"164"	"BITUSD"	-0.0104067740274527	0.161654810038075	3	1	3	5
"165"	"BITZ"	0	0.120601795490862	2	1	2	7
"166"	"BKC"	-0.00329172984835165	0.0442126969798074	2	3	3	1
"167"	"BLAS"	-0.00329827936911592	0.0441321913120296	2	3	3	1
"168"	"BLAZR"	-0.0036646500029757	0.282556322237696	2	1	3	8
"169"	"BLC"	-0.0215506104029189	0.63835982351013	3	2	3	11
"170"	"BLITZ"	-0.00998352360376205	0.104519392385672	3	3	3	3
"171"	"BLK"	-0.00729611936204427	0.0761492400621264	3	3	3	3
"172"	"BLOCK"	-0.00930836155521853	0.0758904989746749	3	3	3	3
"173"	"BLRY"	-0.00803745434440244	0.239346086386779	3	1	3	5
"174"	"BLU"	-0.00618405568262504	0.20814252844504	3	3	3	3
"175"	"BLX"	-0.00591318759459346	1.03018559313683	1	4	2	22
"176"	"BM"	0.0197506396867404	0.381466546170271	2	2	2	10
"177"	"BMC"	-0.00375791543778887	0.078033114097361	2	3	3	1
"178"	"BNB*"	-0.000821903250361825	0.101046563751425	2	3	2	2
"179"	"BNC"	-0.00360865979367655	0.118867084429442	2	3	2	2
"180"	"BNT"	-0.00565334583253799	0.0609960895810257	2	3	3	1
"181"	"BNX"	-0.0074081426434683	0.155506446374254	3	3	2	4
"182"	"BOAT"	-0.00414622510209737	0.166666377676015	2	3	2	2
"183"	"BOB"	0.000226411941393868	0.0888557137300338	2	3	2	2
"184"	"BOLI"	0.00221565632845992	0.105732451363456	2	3	3	1
"185"	"BOMB"	-0.00752853159400222	0.337844424015775	3	1	2	6
"186"	"BON"	-0.00992873478017663	0.377889842467153	3	1	3	5
"187"	"BOSON"	-0.00260595994751271	0.216755419310978	2	3	3	1
"188"	"BOSS"	-0.0123018715889749	0.287376278200613	3	1	2	6
"189"	"BOST"	-0.00078237603065028	0.0433645800465961	2	3	1	19
"190"	"BPL"	-0.0102994236359977	0.137445330678541	3	3	3	3
"191"	"BQ"	-0.00780776753076638	0.183285548329308	3	1	2	6
"192"	"BQC"	-0.00329845988841778	0.0441249164939443	2	3	3	1
"193"	"BRAIN"	-0.00500705317964019	0.301515621899813	3	1	2	6
"194"	"BRC"	-0.00329827936911592	0.0441316405612435	2	3	3	1
"195"	"BRDD"	-0.00574637623934026	0.0844808511044342	2	3	3	1
"196"	"BRIT"	-0.00139569842559014	0.131516294415184	2	1	2	7
"197"	"BRK"	-0.00757886180238192	0.0928777669013733	3	3	2	4
"198"	"BRO"	-0.00746616511307633	0.12854295569468	3	3	2	4
"199"	"BRONZ"	-0.00427156823478878	0.0848932579856813	2	3	3	1
"200"	"BRX"	-0.00685981083864403	0.0958120809674416	3	3	3	3
"201"	"BS"	-0.0113095019009472	0.351447005900056	3	1	2	6
"202"	"BSC"	-0.0186433444450262	0.289534270842806	3	1	2	6
"203"	"BSD"	-0.00803373134773261	0.071011271364937	3	3	3	3
"204"	"BST"	0.00312048470111434	0.0596983874638105	2	3	2	2
"205"	"BSTAR"	-0.006115543624915	0.309869063612386	3	1	1	21
"206"	"BSTK"	-0.00100119322716034	0.308122048330936	2	1	2	7
"207"	"BSTY"	0.00292964298590382	0.0330096002988433	2	3	2	2
"208"	"BT1"	0.000121496818950496	0.00232437100900927	2	3	3	1
"209"	"BT2"	-0.0047519079642499	0.0909093522364821	2	3	3	1
"210"	"BTA"	-0.00931940306264584	0.18279802339472	3	1	2	6
"211"	"BTB"	-0.00666846555826136	0.123633849444953	3	3	2	4
"212"	"BTC"	-0.0032983264282719	0.0441322038212815	2	3	2	2
"213"	"BTCA"	-0.0185920303110446	0.257936575483369	3	1	2	6
"214"	"BTCD"	-0.00906700543183103	0.119307322811576	3	3	2	4
"215"	"BTCE"	-0.0133070634051005	0.38333023012184	3	1	2	6
"216"	"BTCM"	-0.00638595866545592	0.146702139563747	3	3	2	4
"217"	"BTCR"	-0.00279976847300384	0.168094942724535	2	3	3	1
"218"	"BTCRED"	-0.00959874118554448	0.164716385320476	3	3	3	3
"219"	"BTCRY"	-0.00425859219423014	0.291062141231209	2	1	2	7
"220"	"BTCS"	-0.00674727277662134	0.540158723628883	3	2	2	14
"221"	"BTCZ"	-0.00662212605206999	0.120048879705229	3	3	2	4
"222"	"BTD"	-0.00391035431974804	0.203136054713557	2	3	3	1
"223"	"BTDX"	-0.0156637239464552	0.152486726909097	3	3	2	4
"224"	"BTE"	-0.00329864307451667	0.0441273645140351	2	3	2	2
"225"	"BTG"	-0.00773661495086381	0.0700502492115692	3	3	2	4
"226"	"BTH"	-0.00369809983141229	0.229607888929499	2	1	2	7
"227"	"BTLC"	0.00439737134544836	0.40459397288198	2	2	3	9
"228"	"BTM"	-0.013657301698489	0.230724911484791	3	1	3	5
"229"	"BTM*"	-0.00386699082079353	0.0777160938411325	2	3	2	2
"230"	"BTMI"	-0.00329827936911592	0.0441316405612435	2	3	2	2
"231"	"BTPL"	-0.00329864307451667	0.0441327663567546	2	3	2	2
"232"	"BTQ"	-0.00566848421610583	0.241664356841662	3	3	2	4
"233"	"BTSE"	-0.0108954503474422	0.193623607870914	3	1	3	5
"234"	"BTTF"	0.00343905335565671	0.0659382398947722	2	3	3	1
"235"	"BTU"	-0.00329830104287201	0.0441314056227512	2	3	2	2
"236"	"BTX"	-0.0110896342232724	0.0817097300896629	3	3	3	3
"237"	"BTXC"	-0.012944722151447	0.241529244409448	3	1	3	5
"238"	"BTZ"	-0.0033842857455977	0.139986037088057	2	3	2	2
"239"	"BUCKS"	-0.00472455509711483	0.326978395255556	3	1	2	6
"240"	"BUK"	-0.00329672384353062	0.044172454730481	2	3	2	2
"241"	"BUN"	-0.00329827936911592	0.0441316405612435	2	3	2	2
"242"	"BURST"	-0.00631561964749477	0.0815693417704501	3	3	3	3
"243"	"BUZZ"	-0.00663424044432412	0.190740325164182	3	3	2	4
"244"	"BVC"	-0.00391771924785202	0.18162534592133	2	3	3	1
"245"	"BWK"	-0.00964853926509358	0.105050950832289	3	3	3	3
"246"	"BXC"	0.00849723774082852	0.167943229990106	2	3	3	1
"247"	"BXT"	0.00212285433623142	0.439122378306633	2	1	3	8
"248"	"BYC"	-0.0106621034869467	0.150496046532378	3	1	3	5
"249"	"C2"	-0.00439668837070736	0.409438771848968	3	1	3	5
"250"	"CAB"	-0.00503378441905264	0.256201423816213	3	1	3	5
"251"	"CACH"	-0.00635805618899568	0.114039709585315	3	3	3	3
"252"	"CAG"	0.00417142419768712	0.330381382969367	2	1	2	7
"253"	"CAID"	-0.00704958752808809	0.238744104381739	3	1	3	5
"254"	"CAIX"	-0.00329791942042083	0.0441307523514876	2	3	2	2
"255"	"CALC"	-0.0127366747718384	0.303259730561207	3	1	3	5
"256"	"CAM"	0.00735984078586778	0.243231649005041	2	1	2	7
"257"	"CAN"	-0.012019456470036	0.41574476996579	3	1	2	6
"258"	"CANN"	-0.0103207597285544	0.0855618235250287	3	3	2	4
"259"	"CAP"	-0.00690999631343017	0.7660104690935	3	4	2	12
"260"	"CAPP"	-0.0085515103999404	0.0995999311604928	3	3	2	4
