Attaccante;Bersaglio;Tecnica;Continente;Severity
Hacktivism;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;2
Cybercrime;Entertainment / News;Unknown;AM;3
Hacktivism;Online Services / Cloud;Account Cracking;AM;2
Cybercrime;Online Services / Cloud;Unknown;AS;3
Cybercrime;Security;Account Cracking;AM;3
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Hacktivism;Online Services / Cloud;Unknown;AM;3
Cybercrime;Hospitability;Malware;AM;2
Hacktivism;SW / HW Vendor;Malware;AM;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Research - Education;Phishing / Social Engineering;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Multiple Threats / APT;AS;1
Cybercrime;Health;Malware;AM;2
Cybercrime;Health;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Malware;AM;2
Hacktivism;Research - Education;Vulnerabilities;EU;3
Cybercrime;Gov. Contractors / Consulting;Unknown;AM;2
Cybercrime;Online Services / Cloud;Malware;AS;3
Cybercrime;Entertainment / News;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Cybercrime;Multiple targets;Phishing / Social Engineering;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Account Cracking;EU;1
Cybercrime;Online Services / Cloud;Malware;AM;3
Hacktivism;Others;Account Cracking;AS;2
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Entertainment / News;Vulnerabilities;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;2
Cybercrime;Online Services / Cloud;Unknown;AM;3
Cybercrime;Online Services / Cloud;Vulnerabilities;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Multiple Threats / APT;EU;1
Information warfare;Multiple targets;Multiple Threats / APT;AS;1
Cybercrime;Others;Vulnerabilities;EU;1
Cybercrime;Banking / Finance;Vulnerabilities;OC;1
Cybercrime;Entertainment / News;Unknown;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Multiple Threats / APT;AS;1
