,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO
VET,5,CCCAGG,VET,USD,4,0.00428,1546194041,10775.4543,46.11355667685,328976890,3939508.276107501,16877.74824140497,4572791.599817281,19692.4684405379,0.004229,0.004453,0.004198,0.004357,0.004525,0.004198,Bitfinex,0.0,0.0,0.00428,0.00428,0.00428,-7.699999999999981e-05,-1.7672710580674735,5.099999999999983e-05,1.2059588555213958,55454734800.0,237346264.944,799685103.3647426,3422773.162794418
QTUM,5,CCCAGG,QTUM,USD,1,2.36,1546193096,4e-06,9.460000000000001e-06,328975316,24941.65540976001,58691.05730073271,43181.09367104999,102557.50724169544,2.32,2.39,2.19,2.38,2.46,2.3,Bitfinex,0.0,0.0,2.36,2.36,2.36,-0.020000000000000018,-0.8403361344537823,0.040000000000000036,1.7241379310344844,100000000.0,236000000.0,14914013.880392164,35197722.883903526
KBC,5,CCCAGG,KBC,USD,4,0.0195524,1546196657,0.0,0.0,0,0.0,0.0,19997.20472034,256.47116886038265,0.01787648,0.01983172,0.0174575,0.01857478,0.01983172,0.0174575,HitBTC,0.0,0.0,0.0195524,0.0195524,0.0195524,0.000977620000000002,5.263157894736853,0.0016759200000000009,9.375000000000004,12000000000.0,234628800.0,1955970.0,38109.385651286415
RED,5,CCCAGG,RED,USD,2,0.0075165012,1546196657,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0075611924,0.0078097872,0.007339132999999999,0.007800011,0.0078740308,0.007339132999999999,Bibox,0.0,0.0,0.007519294399999999,0.007519294399999999,0.0075165012,-0.00028350979999999977,-3.6347358997314205,-4.469119999999955e-05,-0.5910602142593218,29098825464.3612,218721356.52146152,3723652.0730866413,27988.835275738227
BAT,5,CCCAGG,BAT,USD,4,0.1382066253,1546196646,0.0,0.0,0,0.0,0.0,48666.39474622,6947.415224963291,0.1380516417,0.1400276826,0.1361530926,0.1375866909,0.1401051744,0.1361143467,HuobiPro,0.0,0.0,0.1384391007,0.1384391007,0.1380516417,0.000619934399999994,0.4505773021683989,0.00015498359999999156,0.11226494527083306,1500000000.0,207309937.95,16727604.373740163,2312087.1468897182
TUSD,5,CCCAGG,TUSD,USD,4,1.0,1546193123,389.67805389,390.45740999,6797686,3181.13463804,3182.2012221800005,11889.60386348,11882.066938250002,0.999,1.0,0.998,1.0,1.0,0.998,BitTrex,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0010000000000000009,0.10010010010010019,204937826.149,204937826.149,18323221.832353693,18323214.295428462
OMG,5,CCCAGG,OMG,USD,4,1.45,1546196126,0.00099723,0.001444687101,328980083,207897.31092802976,302260.59277748596,367253.83927483,550312.1270724251,1.5,1.52,1.41,1.46,1.59,1.41,Bitfinex,0.0,0.0,1.45,1.45,1.45,-0.010000000000000009,-0.6849315068493157,-0.050000000000000044,-3.333333333333336,140245398.245133,203355827.45544288,16390712.339487411,23784326.95238067
R,5,CCCAGG,R,USD,4,0.181830285,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.179738055,0.186634665,0.17969931,0.191594025,0.191749005,0.17853696,BTCAlpha,0.0,0.0,0.18194652,0.18194652,0.181752795,-0.009763739999999993,-5.0960566228513615,0.0020922300000000005,1.1640439749946112,1000000000.0,181830285.0,6992222.6918376805,1271397.8448403126
FTO,5,CCCAGG,FTO,USD,4,5.64513193,1546196656,0.0,0.0,0,0.0,0.0,152.91065787000002,824.6002164375001,5.74199418,5.74199418,5.52889723,5.69162581,5.73811969,5.517273759999999,CoinDeal,0.0,0.0,5.64513193,5.64513193,5.64513193,-0.046493879999999876,-0.8168822328114342,-0.09686225000000004,-1.6869095816464243,31801461.1867843,179523443.96617174,9176.13607312023,51761.898119654084
BCD,5,CCCAGG,BCD,USD,4,0.967097664,1546196646,0.0,0.0,0,0.0,0.0,429.0,384.0032,0.94927455,1.010105613,0.921764961,0.951211845,0.9988693019999999,0.9310639770000001,Binance,0.0,0.0,0.940750452,0.967097664,0.937263321,0.015885818999999968,1.6700610997963308,0.017823113999999918,1.8775510204081545,183534024.889807,177495326.73545018,911861.27548852,881828.0277191522
